epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2325.1,0.85066,0.46684,0.90888,0.86929,0.79577,0.83741,0.67804,0.77455,0.61038,0.90263,0.008614,0.008614,0.008614
44,2380.65,0.85608,0.47148,0.90917,0.86928,0.78922,0.83726,0.67762,0.75859,0.6114,0.89743,0.008581,0.008581,0.008581
45,2434.2,0.84918,0.46548,0.90788,0.85947,0.79223,0.83476,0.67704,0.771,0.61578,0.90459,0.008548,0.008548,0.008548
46,2487.84,0.85393,0.46707,0.90649,0.85876,0.79609,0.83643,0.67851,0.76764,0.62281,0.90187,0.008515,0.008515,0.008515
47,2541.2,0.84928,0.46691,0.90759,0.87215,0.78414,0.83614,0.67835,0.7648,0.61944,0.90242,0.008482,0.008482,0.008482
48,2594.87,0.84881,0.46284,0.90519,0.87782,0.78958,0.83985,0.68067,0.77107,0.61022,0.90608,0.008449,0.008449,0.008449
49,2648.43,0.84534,0.46031,0.90634,0.86378,0.79307,0.83981,0.68487,0.77128,0.6121,0.90825,0.008416,0.008416,0.008416
50,2702.07,0.84535,0.46101,0.90399,0.86954,0.78748,0.84196,0.68923,0.75727,0.60898,0.90215,0.008383,0.008383,0.008383
51,2755.71,0.83295,0.45885,0.90141,0.86826,0.78713,0.83566,0.67953,0.76316,0.60814,0.89844,0.00835,0.00835,0.00835
52,2809.1,0.83035,0.4555,0.90169,0.86231,0.79237,0.83467,0.68145,0.75803,0.61892,0.90132,0.008317,0.008317,0.008317
53,2862.74,0.83644,0.45372,0.89971,0.88089,0.78277,0.84178,0.68646,0.75666,0.60274,0.89879,0.008284,0.008284,0.008284
54,2916.19,0.8344,0.45642,0.90283,0.86428,0.78159,0.83389,0.67886,0.75538,0.61637,0.89937,0.008251,0.008251,0.008251
55,2969.69,0.83652,0.45542,0.90229,0.8916,0.77816,0.83729,0.68094,0.75863,0.61474,0.90032,0.008218,0.008218,0.008218
56,3023.51,0.82548,0.44519,0.89856,0.88089,0.78687,0.83488,0.6797,0.75675,0.61063,0.8991,0.008185,0.008185,0.008185
57,3077.04,0.8365,0.45302,0.90396,0.88038,0.78862,0.84125,0.68469,0.75191,0.6044,0.89718,0.008152,0.008152,0.008152
58,3130.64,0.83512,0.44935,0.90186,0.87811,0.78356,0.83686,0.68347,0.75824,0.60076,0.89824,0.008119,0.008119,0.008119
59,3184.01,0.82521,0.44641,0.89894,0.86194,0.80421,0.84185,0.68799,0.75466,0.60006,0.90029,0.008086,0.008086,0.008086
60,3237.62,0.82278,0.44624,0.89933,0.8789,0.78555,0.8412,0.68717,0.75103,0.60779,0.89659,0.008053,0.008053,0.008053
61,3290.99,0.81866,0.44532,0.89829,0.88722,0.79079,0.84272,0.68682,0.74876,0.60408,0.89732,0.00802,0.00802,0.00802
62,3344.44,0.82419,0.44492,0.89822,0.86203,0.79479,0.83635,0.68517,0.74751,0.60435,0.89597,0.007987,0.007987,0.007987
63,3397.92,0.82444,0.44563,0.89739,0.88313,0.78473,0.84141,0.68939,0.74653,0.59954,0.89668,0.007954,0.007954,0.007954
64,3451.82,0.81555,0.44258,0.89599,0.88673,0.79207,0.83933,0.68296,0.75211,0.60872,0.90022,0.007921,0.007921,0.007921
65,3505.7,0.81384,0.43852,0.89544,0.86773,0.79431,0.84156,0.69077,0.75416,0.60574,0.90078,0.007888,0.007888,0.007888
66,3559.33,0.80665,0.43479,0.89416,0.8833,0.7963,0.84092,0.6906,0.74749,0.5981,0.89624,0.007855,0.007855,0.007855
67,3612.82,0.80984,0.43898,0.89545,0.86989,0.79454,0.83607,0.68705,0.75247,0.61716,0.89833,0.007822,0.007822,0.007822
68,3666.16,0.8036,0.43496,0.89531,0.86888,0.80356,0.84282,0.68989,0.74385,0.60986,0.89714,0.007789,0.007789,0.007789
69,3719.72,0.80019,0.43301,0.89576,0.88152,0.79437,0.84051,0.69219,0.74566,0.60355,0.89666,0.007756,0.007756,0.007756
70,3773.23,0.80753,0.43321,0.89609,0.87909,0.79699,0.8455,0.69362,0.74761,0.5971,0.89918,0.007723,0.007723,0.007723
